2026-06-03 14:22:04.855 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-03 14:22:04.855 | INFO     | src.main:main:23 | ============================================================
2026-06-03 14:22:04.855 | INFO     | src.main:main:24 | Translator InTime v0.1.0 启动
2026-06-03 14:22:04.855 | INFO     | src.main:main:25 | 实时游戏语音双向翻译系统
2026-06-03 14:22:04.855 | INFO     | src.main:main:26 | ============================================================
2026-06-03 14:22:05.398 | INFO     | src.main:main:50 | GUI 已启动
2026-06-03 14:22:08.968 | INFO     | src.core.translator:_init_client:87 | 翻译策略: microsoft (降级: google)
2026-06-03 14:22:08.968 | INFO     | src.core.pipeline:initialize:77 | 初始化翻译管道...
2026-06-03 14:22:08.998 | ERROR    | src.gui.main_window:_on_error:224 | 管道错误: [Errno 2] 没有那个文件或目录: 'pactl'
2026-06-03 14:22:28.624 | INFO     | src.main:cleanup:40 | 收到退出信号，正在清理...
2026-06-03 14:32:59.336 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-03 14:32:59.336 | INFO     | src.main:main:23 | ============================================================
2026-06-03 14:32:59.336 | INFO     | src.main:main:24 | Translator InTime v0.1.0 启动
2026-06-03 14:32:59.336 | INFO     | src.main:main:25 | 实时游戏语音双向翻译系统
2026-06-03 14:32:59.336 | INFO     | src.main:main:26 | ============================================================
2026-06-03 14:32:59.609 | INFO     | src.main:main:50 | GUI 已启动
2026-06-03 14:33:00.891 | INFO     | src.core.translator:_init_client:87 | 翻译策略: microsoft (降级: google)
2026-06-03 14:33:00.891 | INFO     | src.core.pipeline:initialize:77 | 初始化翻译管道...
2026-06-03 14:33:00.893 | WARNING  | src.audio.virtual_device:_run:48 | 命令未找到: pactl，请安装 pulseaudio-utils
2026-06-03 14:33:00.894 | WARNING  | src.audio.virtual_device:_linux_create_speaker:71 | pactl 未安装，跳过虚拟音频设备创建。请运行: sudo apt install pulseaudio-utils
2026-06-03 14:33:00.894 | INFO     | src.core.asr_engine:load_model:33 | 加载 Whisper 模型: size=base, device=cpu, compute_type=int8
2026-06-03 14:33:01.189 | ERROR    | src.gui.main_window:_on_error:224 | 管道错误: Unknown scheme for proxy URL URL('socks://127.0.0.1:7890/')
2026-06-03 14:35:12.890 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-03 14:35:12.890 | INFO     | src.main:main:23 | ============================================================
2026-06-03 14:35:12.891 | INFO     | src.main:main:24 | Translator InTime v0.1.0 启动
2026-06-03 14:35:12.891 | INFO     | src.main:main:25 | 实时游戏语音双向翻译系统
2026-06-03 14:35:12.891 | INFO     | src.main:main:26 | ============================================================
2026-06-03 14:35:13.107 | INFO     | src.main:main:50 | GUI 已启动
2026-06-03 14:35:16.199 | INFO     | src.core.translator:_init_client:87 | 翻译策略: microsoft (降级: google)
2026-06-03 14:35:16.200 | INFO     | src.core.pipeline:initialize:77 | 初始化翻译管道...
2026-06-03 14:35:16.242 | INFO     | src.audio.virtual_device:_linux_create_speaker:68 | 已创建虚拟扬声器: translator_virtual_sink
2026-06-03 14:35:16.243 | INFO     | src.audio.virtual_device:_linux_create_mic_monitor:84 | Monitor 源自动可用: translator_virtual_sink.monitor
2026-06-03 14:35:16.243 | INFO     | src.core.asr_engine:load_model:33 | 加载 Whisper 模型: size=base, device=cpu, compute_type=int8
2026-06-03 14:35:16.431 | ERROR    | src.gui.main_window:_on_error:224 | 管道错误: Unknown scheme for proxy URL URL('socks://127.0.0.1:7890/')
2026-06-03 14:41:11.806 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-03 14:41:11.807 | INFO     | src.main:main:23 | ============================================================
2026-06-03 14:41:11.807 | INFO     | src.main:main:24 | Translator InTime v0.1.0 启动
2026-06-03 14:41:11.807 | INFO     | src.main:main:25 | 实时游戏语音双向翻译系统
2026-06-03 14:41:11.807 | INFO     | src.main:main:26 | ============================================================
2026-06-03 14:41:12.039 | INFO     | src.main:main:50 | GUI 已启动
2026-06-03 14:41:13.351 | INFO     | src.core.translator:_init_client:87 | 翻译策略: microsoft (降级: google)
2026-06-03 14:41:13.352 | INFO     | src.core.pipeline:initialize:77 | 初始化翻译管道...
2026-06-03 14:41:13.379 | INFO     | src.audio.virtual_device:_linux_create_speaker:60 | 虚拟音频设备 'translator_virtual' 已存在
2026-06-03 14:41:13.379 | INFO     | src.audio.virtual_device:_linux_create_mic_monitor:84 | Monitor 源自动可用: translator_virtual_sink.monitor
2026-06-03 14:41:13.380 | INFO     | src.core.asr_engine:load_model:33 | 加载 Whisper 模型: size=base, device=cpu, compute_type=int8
2026-06-03 14:44:50.387 | INFO     | src.core.translator:_init_client:87 | 翻译策略: microsoft (降级: google)
2026-06-03 14:44:50.388 | INFO     | src.core.pipeline:initialize:77 | 初始化翻译管道...
2026-06-03 14:44:50.406 | INFO     | src.audio.virtual_device:_linux_create_speaker:60 | 虚拟音频设备 'translator_virtual' 已存在
2026-06-03 14:44:50.407 | INFO     | src.audio.virtual_device:_linux_create_mic_monitor:84 | Monitor 源自动可用: translator_virtual_sink.monitor
2026-06-03 14:44:50.407 | INFO     | src.core.asr_engine:load_model:33 | 加载 Whisper 模型: size=base, device=cpu, compute_type=int8
2026-06-03 14:44:53.404 | INFO     | src.core.translator:_init_client:87 | 翻译策略: microsoft (降级: google)
2026-06-03 14:44:53.405 | INFO     | src.core.pipeline:initialize:77 | 初始化翻译管道...
2026-06-03 14:44:53.412 | INFO     | src.audio.virtual_device:_linux_create_speaker:60 | 虚拟音频设备 'translator_virtual' 已存在
2026-06-03 14:44:53.412 | INFO     | src.audio.virtual_device:_linux_create_mic_monitor:84 | Monitor 源自动可用: translator_virtual_sink.monitor
